Pitcher,PitcherTeam,Overall_StuffPlus,Overall_PitchingPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Jadon Dormer,ARC_UNI,94.1,118.2,14,4,75.8,5.9
Jackson Kircher,OKL_SOO,117.0,118.2,205,6,90.7,6.3
Kailen Hamson,CUM_PAT,124.9,118.1,379,6,87.5,6.1
Grant Fontenot,LSU_TIG,109.9,118.0,72,4,91.1,5.7
Casey Hintz,ARI_WIL,114.0,117.9,649,5,84.6,5.2
Ty Lawson,UNC_SEA,112.1,117.9,207,8,85.2,6.3
Joshua Sanchez,LAN_BEA,112.7,117.9,12,3,83.5,5.3
Zach Crotchfelt,TEX_RAI,108.0,117.9,227,5,88.5,5.4
Andrew Beissner,THO_C,90.7,117.8,14,2,78.2,6.0
Zeke Swartz,PIE_LIO,90.7,117.8,84,4,78.3,6.5
Steven Oliva,UTR_VAQ,115.9,117.8,151,6,90.2,5.5
Landen Payne,SOU_GOL,113.6,117.8,361,5,90.6,6.3
Luke Jackson,TEX_AGG,118.8,117.7,343,4,92.5,6.0
AJ Hutcheson,ORE_BEA,108.8,117.7,437,7,85.4,5.6
Tobey McDonough,NOT_IRI,107.3,117.7,437,6,86.7,6.9
Matthew Wootton,EAS_CON,97.8,117.7,39,3,81.2,6.6
Mason McConnaughey,NEB,119.4,117.7,160,7,89.3,6.1
Owen Proksch,DUK_BLU,118.9,117.7,732,7,85.5,6.3
Patrick Forbes,LOU_CAR,118.9,117.6,1062,6,91.5,6.0
Nathan Scott,WES_TEX,103.1,117.6,71,4,82.9,6.5
Eric Lin,KAN_JAY,124.1,117.6,466,6,88.9,5.7
Tyler McCloskey,HBU_HUS,99.8,117.6,18,4,83.1,6.2
Ryder Brooks,CAL_ANT,107.7,117.6,315,7,85.0,6.0
Carson Myers,AUB_TIG,115.6,117.6,631,5,85.9,5.6
Jackson DiLorenzo,ECU_PIR,114.5,117.6,402,7,88.5,5.7
Mac Heuer,TEX_RAI,115.6,117.6,866,6,90.1,5.8
Chase Hungate,MSU_BDG,106.8,117.6,257,6,83.6,5.9
Parker Carlson,AUB_TIG,116.3,117.5,366,7,86.7,5.5
